mysql: [Warning] Using a password on the command line interface can be insecure.
id	kode	nama_produk	qty_stok_salah
5405	9311931024036	INDOCAFE COFFEMIX 3IN1 20 GR	6
11745	8998866607872	EKONOMI PUTIH 260 GR EP 500 K	6
8775	8992304009204	GARNIER MEN TL ICY SCRUB100ML	6
2282	8997009510116	YOU C1000 LEMON WATER 500 ML	6
5080	089686910704	INDOMIE GORENG RENDANG 91 GR	6
11004	8992745120650	HIT MAT CLASSIC ISI 48+6 MAT	6
3377	8993172902499	SIMBA CHOCO CHIPS CUP 36GR	6
14368	8992856908956	DOREMI KIDS COLOGNE BOBOBOY SORI 100ML	6
11734	8992772198011	KISPRAY AMORIS REFIL 300 ML	6
14431	8998866107037	EMERON HAIR VIT BLACK SHINE 6'S	6
15260	BUDH10	BERAS UDUK HIJAU 10KG	6
2238	8997009510123	YOU C1000 ORANGE WTR 500 ML	5
4220	8993093665497	ROSE BRAND KUNING 1KG	5
3885	8998866202268	KECAP SEDAAP SPECIAL 550ML	5
4067	8991818040062	FINNA TEPUNG BUMBU AYAM GORENG 1KG	5
12863	089686017748	SARIMI AYAM KREMES ISI 2 125 GR	5
7663	8999908045706	MARINA NATURAL NUTRI FRESH 200ML	5
13985	8998866200936	SEDAAP GORENG RS AYAM KRISPI 88GR	5
6801	8998866602563	NUVO FAMILY GREEN 80 GR	5
6802	8998866602570	NUVO FAMILY YELLOW 80 GR	5
13389	8992772198073	KISPRAY ELEGANTE SAPPHIRE 200ML	5
13660	8997232970930	LEMONILO CASSAMO SMOKY BBQ 50GR	5
3313	8992775311325	GERY SEREAL 80G	5
2573	8997218380128	ICHITAN THAI MILK COFFEE 310ML	5
11733	8992772193061	KISPRAY BLUIS 4'S	5
7850	8992304010293	GARNIER LIGHT COMPLETE DAY 20 ML	5
2738	8992752112013	MIZONE LYCHEE LEMON ACTIVE 500ML	5
7301	8991380700029	GARNIER LIGHT COMP FOAM 100ML	5
14434	8998866107051	EMERON HAIR VIT DAMAGE CARE 6'S	5
14634	8993379255565	LERVIA MILK SOAP PLUS HONEY 90GR	5
15153	8993137708319	WARDAH UV SHIELD BRIGHT-C HYDRATING SPF35 40ML	5
5354	8991998111514	TUBRUK GADJAH ASLI 7GX20	5
5035	8998866200332	SEDAAP MIE KARI AYAM 72 GR	4
8058	8999999707859	CLOSE UP DEEP ACT MENTHOL 160 ML	4
8962	8999999720940	CLEAR HAIR STYLING CREAM 100 GR	4
13261	089686043433	INDOMIE GORENG AYAM GEPREK 85GR	4
5560	8996001440049	ENERGEN COKLAT 29 GR X 10	4
11007	8992745140580	HIT MAT FLORAL 48 + 6 MAT	4
6747	8992946521836	SABUN SHINZU'I KENSHO 90GR	4
13451	089686591019	CHIKI BALLS COKLAT 55GR	4
3194	089686611908	QTELA TEMPE ORI 60 GR	4
13955	8997018250287	AMH SUSU KAMBING ETAWA ORIGINAL 10*24GR	4
13514	8999999053291	LIFEBUOY LEMON FRESH 4*110GR	4
10080	8888103006974	CUSSONS CT BUDS SMALL 100STICKS	4
6925	8998866610742	NUVO CARE PROTECT 80GR	4
5036	8998866200509	SEDAAP MIE AYAM SPESIAL 69 GR	4
14081	8997227875493	NORIGO TABUR RS ORIGINAL 60GR	4
14131	KSMSJ	KRIPIK SINGKONG MANIS CAP SINAR JAGO DAN IWAK HIAS 200GR	4
1947	8990044000024	POCKY COOKIES&CREAM 40GR	4
14295	BUD25	BERAS UDUK 25KG	4
14311	8992696525917	MILO UHT CHOCO CEREAL 180ML	4
